Дата,№,Адрес,"Площадь, м^2",Год постройки,Количество этажей,Количество квартир на этаж,Координаты,Количество квартир,Количество абонентов,"Средний доход, руб",ОТУС-Л,МТС,Ростелеком,Есть конкуренты,"Средняя площадь квартиры, м^2",Новый фонд,Многоэтажка,Возраст дома,Новый без конкурентов,Премиум,Год постройки неизвестен,Широта,Долгота,Гео кластер,Расстояние до центра кластера
18.07.2022,14,"1-й Суздальский пер., 5",139.6,1930,1,4,"[57.635054,39.863909]",4,8.0,329.37,0,0,0,0,34.9,0,0,94,0,0,0,57.635054,39.863909,4,0.005839815746354141
18.07.2022,26,"1-я Закоторосльная наб., 4б",196.4,1946,1,4,"[57.696798,39.779135]",4,8.0,325.3,0,0,0,0,49.1,0,0,78,0,0,0,57.696798,39.779135,0,0.003539742340938759
18.07.2022,57,"ул. 1-я Парковая, 5",112.3,1957,1,4,"[57.694378,39.77485]",4,8.0,326.62,0,0,1,1,28.075,0,0,67,0,0,0,57.694378,39.77485,0,0.0014439693580380027
18.07.2022,99,"ул. 1-я Шоссейная, 24б",219.8,1957,1,4,"[57.646288,39.956273]",4,10.0,384.86,0,0,1,1,54.95,0,0,67,0,0,0,57.646288,39.956273,1,0.005377759414064073
18.07.2022,13,"1-й Суворовский пер., 4",309.7,1962,2,4,"[57.636683,39.865741]",8,9.0,327.21,0,0,1,1,38.7125,0,0,62,0,0,0,57.636683,39.865741,2,0.005261418122346359
18.07.2022,18,"ул. 1-я Жилая, 11",491.6,,2,4,"[57.631845,39.86257]",8,9.0,333.81,0,0,1,1,61.45,,0,,,0,1,57.631845,39.86257,4,0.0027652215917308323
18.07.2022,27,"1-я Закоторосльная наб., 38а",500.1,1953,2,4,"[57.695865,39.781488]",8,8.0,321.18,0,0,1,1,62.5125,0,0,71,0,0,0,57.695865,39.781488,0,0.005615974685983825
18.07.2022,28,"ул. 1-я Кольцова, 6",681.2,1955,2,4,"[57.695004,39.779377]",8,8.0,324.83,0,0,1,1,85.15,0,0,69,0,0,0,57.695004,39.779377,0,0.0035034987522341867
18.07.2022,29,"ул. 1-я Кольцова, 7",378.6,1955,2,4,"[57.631696,39.863316]",8,9.0,333.52,0,0,1,1,47.325,0,0,69,0,0,0,57.631696,39.863316,4,0.0034038073463939183
18.07.2022,30,"ул. 1-я Кольцова, 8",895.1,1956,2,4,"[57.628072,39.845161]",8,8.0,327.22,0,0,0,0,111.8875,0,0,68,0,0,0,57.628072,39.845161,4,0.015137587895196859
18.07.2022,31,"ул. 1-я Кольцова, 9",785.6,1951,2,4,"[57.633609,39.863199]",8,8.0,330.02,0,0,0,0,98.2,0,0,73,0,0,0,57.633609,39.863199,4,0.004303198184846901
18.07.2022,32,"ул. 1-я Кольцова, 10",674.6,1952,2,4,"[57.631725,39.860001]",8,9.0,335.85,0,0,0,0,84.325,0,0,72,0,0,0,57.631725,39.860001,4,0.001081417411579476
18.07.2022,33,"ул. 1-я Кольцова, 13",809.0,1952,2,4,"[57.6333,39.860621]",8,9.0,333.15,0,0,1,1,101.125,0,0,72,0,0,0,57.6333,39.860621,4,0.002708635317780123
18.07.2022,34,"ул. 1-я Кольцова, 15",681.9,1955,2,4,"[57.697212,39.779826]",8,8.0,321.8,0,0,1,1,85.2375,0,0,69,0,0,0,57.697212,39.779826,0,0.004340028245712446
18.07.2022,35,"ул. 1-я Кольцова, 17",440.1,1958,2,4,"[57.553909,39.93846]",8,9.0,334.33,0,0,1,1,55.0125,0,0,66,0,0,0,57.553909,39.93846,3,0.0
